simulation_id,fault_id,python_ppf_psi,matlab_ppf_psi,absolute_error_psi,relative_error
4,DEMO_TX_VARIABLE_FSP_W01_SEG_003,769.2406536618034,769.24,0.0006536618034260755,8.497501474521287e-07
4,DEMO_TX_VARIABLE_FSP_W01_SEG_004,872.2982581458892,872.3,0.0017418541107190322,1.996852127386257e-06
4,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1567.6951743144073,1567.7,0.004825685592777518,3.0781945479221265e-06
5,DEMO_TX_VARIABLE_FSP_W01_SEG_001,830.4361455254425,830.44,0.0038544745575563866,4.6414847039598125e-06
5,DEMO_TX_VARIABLE_FSP_W01_SEG_002,809.2660485168743,809.27,0.0039514831256610705,4.882774754607326e-06
5,DEMO_TX_VARIABLE_FSP_W01_SEG_003,730.8879238951102,730.89,0.002076104889738417,2.840516205911173e-06
5,DEMO_TX_VARIABLE_FSP_W01_SEG_004,1009.0266986721682,1009.0,0.02669867216820876,2.6460527421416014e-05
5,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1607.1324299355028,1607.1,0.032429935502932494,2.017916464621523e-05
6,DEMO_TX_VARIABLE_FSP_W01_SEG_001,793.7588869993976,793.76,0.0011130006023449823,1.4021878179109332e-06
6,DEMO_TX_VARIABLE_FSP_W01_SEG_002,830.1191807105798,830.12,0.0008192894201783929,9.869529949626474e-07
6,DEMO_TX_VARIABLE_FSP_W01_SEG_003,691.9826998412158,691.98,0.0026998412157581697,3.901617410558353e-06
6,DEMO_TX_VARIABLE_FSP_W01_SEG_004,949.4112167593136,949.41,0.0012167593135927746,1.2815952155473131e-06
6,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1581.2005442027596,1581.2,0.0005442027595563559,3.441707308097368e-07
7,DEMO_TX_VARIABLE_FSP_W01_SEG_001,925.049312420597,925.05,0.0006875794030065663,7.432889065526905e-07
7,DEMO_TX_VARIABLE_FSP_W01_SEG_002,934.8619532281078,934.86,0.0019532281078227243,2.089326859447109e-06
7,DEMO_TX_VARIABLE_FSP_W01_SEG_003,759.7353993648709,759.74,0.0046006351291225656,6.0555389068925756e-06
7,DEMO_TX_VARIABLE_FSP_W01_SEG_004,1039.9376080551724,1039.9,0.03760805517231347,3.616506892231317e-05
7,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1740.1432280575184,1740.1,0.04322805751849046,2.484228350008072e-05
8,DEMO_TX_VARIABLE_FSP_W01_SEG_001,829.0681489783756,829.07,0.0018510216244749245,2.2326481774457216e-06
8,DEMO_TX_VARIABLE_FSP_W01_SEG_002,943.227780100653,943.23,0.0022198993469828565,2.3535079959107073e-06
8,DEMO_TX_VARIABLE_FSP_W01_SEG_003,714.7375090851606,714.74,0.002490914839427205,3.48506427431962e-06
8,DEMO_TX_VARIABLE_FSP_W01_SEG_004,793.9171536242226,793.92,0.002846375777380672,3.585217373766465e-06
8,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1724.970333763108,1725.0,0.029666236891898734,1.7197818488057236e-05
9,DEMO_TX_VARIABLE_FSP_W01_SEG_001,889.0908555660935,889.09,0.0008555660934916887,9.622941361298504e-07
9,DEMO_TX_VARIABLE_FSP_W01_SEG_002,1045.5907956570989,1045.6,0.009204342901057316,8.802929323888024e-06
9,DEMO_TX_VARIABLE_FSP_W01_SEG_003,774.6170201697588,774.62,0.002979830241201853,3.846828433556909e-06
9,DEMO_TX_VARIABLE_FSP_W01_SEG_004,1244.0118259903193,1244.0,0.011825990319266566,9.506423086227143e-06
9,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1893.0151453542094,1893.0,0.015145354209380457,8.000715377380062e-06
10,DEMO_TX_VARIABLE_FSP_W01_SEG_001,872.1544352462946,872.15,0.004435246294633544,5.085416837279761e-06
10,DEMO_TX_VARIABLE_FSP_W01_SEG_002,959.2701139355464,959.27,0.00011393554643746029,1.1877317797644072e-07
10,DEMO_TX_VARIABLE_FSP_W01_SEG_003,776.5787039957181,776.58,0.0012960042819258888,1.6688612659685915e-06
10,DEMO_TX_VARIABLE_FSP_W01_SEG_004,1165.7842114000293,1165.8,0.015788599970619543,1.3543146312077151e-05
10,DEMO_TX_VARIABLE_FSP_W01_SEG_005,1613.0494625450694,1613.0,0.049462545069445696,3.066493804677353e-05
