circle_id,point_index,python_x_psi,matlab_x_psi,x_absolute_error_psi,x_relative_error,python_y_psi,matlab_y_psi,y_absolute_error_psi,y_relative_error
circle2,10,2225.0355588704724,2225.0,0.03555887047241413,1.5981514819062528e-05,156.01672284924356,156.02,0.00327715075644619,2.1004683735714586e-05
circle2,11,2219.8463103929544,2219.8,0.046310392954183044,2.086241686376387e-05,171.01007166283435,171.01,7.166283435822152e-05,4.1905639645764295e-07
circle2,12,2214.183966508036,2214.2,0.016033491963753477,7.241212159585168e-06,185.83122783016378,185.83,0.0012278301637707045,6.607276348117658e-06
circle2,13,2208.054228716035,2208.1,0.04577128396476837,2.0728809367677356e-05,200.46526770330686,200.47,0.0047322966931346855,2.3606009343715696e-05
circle2,14,2201.4632691433108,2201.5,0.03673085668924614,1.668446817590104e-05,214.89745604458582,214.9,0.0025439554141826193,1.1837856743520797e-05
circle2,15,2194.4177243274617,2194.4,0.017724327461564826,8.077072302936942e-06,229.1132608637052,229.11,0.0032608637051794176,1.4232742809914092e-05
circle2,16,2186.924688534892,2186.9,0.024688534891993186,1.1289283868486527e-05,243.09836805023434,243.1,0.0016319497656525073,6.713080072614181e-06
circle2,17,2178.9917066174885,2179.0,0.008293382511510572,3.8060497987657513e-06,256.83869578670317,256.84,0.001304213296805301,5.07792126150639e-06
circle2,18,2170.6267664155903,2170.6,0.02676641559037307,1.2331344140041037e-05,270.3204087277988,270.32,0.0004087277987991911,1.5120146448623524e-06
circle2,19,2161.838290714916,2161.8,0.03829071491600189,1.7712422479416176e-05,283.52993193138536,283.53,6.806861460972868e-05,2.4007552854981374e-07
circle2,20,2152.635128765529,2152.6,0.0351287655289525,1.6319225833388693e-05,296.4539645273202,296.45,0.003964527320192701,1.3373342284340366e-05
circle2,21,2143.0265473713935,2143.0,0.026547371393462527,1.2387947453785593e-05,309.07949311030256,309.08,0.0005068896974194104,1.6399951385382762e-06
circle2,22,2133.0222215594895,2133.0,0.02222155948948057,1.0417983820665995e-05,321.3938048432696,321.39,0.0038048432696200507,1.1838710817449364e-05
circle2,23,2122.6322248378774,2122.6,0.03222483787749297,1.5181776065906424e-05,333.3845002581458,333.38,0.004500258145810676,1.3498884593588926e-05
circle2,24,2111.8670190525354,2111.9,0.0329809474646936,1.5616718341158957e-05,345.039505741056,345.04,0.0004942589440020129,1.4324685369870533e-06
circle2,25,2100.7374438531606,2100.7,0.037443853160766594,1.782446477877212e-05,356.3470856894315,356.35,0.002914310568542078,8.178225251977207e-06
circle2,26,2089.254705778566,2089.3,0.045294221434232895,2.1679137239378208e-05,367.29585432876667,367.3,0.004145671233345638,1.1286880569958176e-05
circle2,27,2077.4303669726423,2077.4,0.030366972642241308,1.4617778300876724e-05,377.8747871771291,377.87,0.004787177129117026,1.2668846770362892e-05
circle2,28,2065.2763335422615,2065.3,0.02366645773872733,1.1459089594115784e-05,388.0732321458784,388.07,0.0032321458784281276,8.328770269353796e-06
circle2,29,2052.8048435688333,2052.8,0.0048435688331665006,2.359493780770898e-06,397.880920265416,397.88,0.0009202654160276325,2.3129220268111806e-06
circle2,30,2040.028454785599,2040.0,0.028454785599024035,1.3948424313247076e-05,407.28797602516784,407.29,0.0020239748321841944,4.969370306622295e-06
